,Week,Year,Attribute,Value
106,53,2021,W1_Comdty,6.405
107,52,2020,W1_Comdty,6.27
108,51,2020,W1_Comdty,6.0825
109,50,2020,W1_Comdty,6.0825
110,49,2020,W1_Comdty,5.665
111,48,2020,W1_Comdty,5.965
112,47,2020,W1_Comdty,5.9325
113,46,2020,W1_Comdty,5.935
114,45,2020,W1_Comdty,6.02
115,44,2020,W1_Comdty,5.985
116,43,2020,W1_Comdty,6.3275
117,42,2020,W1_Comdty,6.2525
118,41,2020,W1_Comdty,5.9375
119,40,2020,W1_Comdty,5.7325
120,39,2020,W1_Comdty,5.4425
121,38,2020,W1_Comdty,5.75
122,37,2020,W1_Comdty,5.3375
123,36,2020,W1_Comdty,5.3975
124,35,2020,W1_Comdty,5.3925
125,34,2020,W1_Comdty,5.2725
126,33,2020,W1_Comdty,5.0
127,32,2020,W1_Comdty,4.955
128,31,2020,W1_Comdty,5.3125
129,30,2020,W1_Comdty,5.395
130,29,2020,W1_Comdty,5.3475
131,28,2020,W1_Comdty,5.3575
132,27,2020,W1_Comdty,4.9
133,26,2020,W1_Comdty,4.74
134,25,2020,W1_Comdty,4.8125
135,24,2020,W1_Comdty,5.02
136,23,2020,W1_Comdty,5.1525
137,22,2020,W1_Comdty,5.2075
138,21,2020,W1_Comdty,5.0875
139,20,2020,W1_Comdty,5.0025
140,19,2020,W1_Comdty,5.295
141,18,2020,W1_Comdty,5.215
142,17,2020,W1_Comdty,5.2675
143,16,2020,W1_Comdty,5.335
144,15,2020,W1_Comdty,5.565
145,14,2020,W1_Comdty,5.4925
146,13,2020,W1_Comdty,5.7125
147,12,2020,W1_Comdty,5.3925
148,11,2020,W1_Comdty,5.1475
149,10,2020,W1_Comdty,5.2125
150,9,2020,W1_Comdty,5.29
151,8,2020,W1_Comdty,5.51
152,7,2020,W1_Comdty,5.4275
153,6,2020,W1_Comdty,5.5875
154,5,2020,W1_Comdty,5.5375
155,4,2020,W1_Comdty,5.735
156,3,2020,W1_Comdty,5.705
157,2,2020,W1_Comdty,5.645
158,1,2020,W1_Comdty,5.545
159,52,2019,W1_Comdty,5.5625
160,51,2019,W1_Comdty,5.4225
161,50,2019,W1_Comdty,5.3925
162,49,2019,W1_Comdty,5.325
163,48,2019,W1_Comdty,5.475
164,47,2019,W1_Comdty,5.1525
165,46,2019,W1_Comdty,5.0275
166,45,2019,W1_Comdty,5.1025
167,44,2019,W1_Comdty,5.16
168,43,2019,W1_Comdty,5.1775
169,42,2019,W1_Comdty,5.3225
170,41,2019,W1_Comdty,5.08
171,40,2019,W1_Comdty,4.905
172,39,2019,W1_Comdty,4.8725
173,38,2019,W1_Comdty,4.8425
174,37,2019,W1_Comdty,4.8575
175,36,2019,W1_Comdty,4.6025
176,35,2019,W1_Comdty,4.5125
177,34,2019,W1_Comdty,4.7525
178,33,2019,W1_Comdty,4.7075
179,32,2019,W1_Comdty,4.995
180,31,2019,W1_Comdty,4.9075
181,30,2019,W1_Comdty,4.96
182,29,2019,W1_Comdty,5.025
183,28,2019,W1_Comdty,5.3625
184,27,2019,W1_Comdty,5.1925
185,26,2019,W1_Comdty,5.28
186,25,2019,W1_Comdty,5.26
187,24,2019,W1_Comdty,5.385
188,23,2019,W1_Comdty,5.045
189,22,2019,W1_Comdty,5.03
190,21,2019,W1_Comdty,4.895
191,20,2019,W1_Comdty,4.65
192,19,2019,W1_Comdty,4.19
193,18,2019,W1_Comdty,4.28
194,17,2019,W1_Comdty,4.35
195,16,2019,W1_Comdty,4.4425
196,15,2019,W1_Comdty,4.645
197,14,2019,W1_Comdty,4.6775
198,13,2019,W1_Comdty,4.5775
199,12,2019,W1_Comdty,4.66
200,11,2019,W1_Comdty,4.6225
201,10,2019,W1_Comdty,4.3275
202,9,2019,W1_Comdty,4.54
203,8,2019,W1_Comdty,4.8675
204,7,2019,W1_Comdty,5.0425
205,6,2019,W1_Comdty,5.1725
206,5,2019,W1_Comdty,5.2425
207,4,2019,W1_Comdty,5.2
208,3,2019,W1_Comdty,5.1775
209,2,2019,W1_Comdty,5.195
210,1,2019,W1_Comdty,5.17
211,52,2018,W1_Comdty,5.115
212,51,2018,W1_Comdty,5.14
213,50,2018,W1_Comdty,5.2775
214,49,2018,W1_Comdty,5.195
215,48,2018,W1_Comdty,5.1575
216,47,2018,W1_Comdty,4.9975
217,46,2018,W1_Comdty,5.0675
218,45,2018,W1_Comdty,5.02
219,44,2018,W1_Comdty,5.0875
220,43,2018,W1_Comdty,5.0525
221,42,2018,W1_Comdty,5.1475
222,41,2018,W1_Comdty,5.1725
223,40,2018,W1_Comdty,5.21
224,39,2018,W1_Comdty,5.09
225,38,2018,W1_Comdty,5.2175
226,37,2018,W1_Comdty,4.8
227,36,2018,W1_Comdty,4.8625
228,35,2018,W1_Comdty,5.185
229,34,2018,W1_Comdty,5.1475
230,33,2018,W1_Comdty,5.605
231,32,2018,W1_Comdty,5.4675
232,31,2018,W1_Comdty,5.5625
233,30,2018,W1_Comdty,5.305
234,29,2018,W1_Comdty,5.16
235,28,2018,W1_Comdty,4.815
236,27,2018,W1_Comdty,5.1275
237,26,2018,W1_Comdty,4.975
238,25,2018,W1_Comdty,4.9125
239,24,2018,W1_Comdty,4.995
240,23,2018,W1_Comdty,5.2
241,22,2018,W1_Comdty,5.2325
242,21,2018,W1_Comdty,5.43
243,20,2018,W1_Comdty,5.1825
244,19,2018,W1_Comdty,4.895
245,18,2018,W1_Comdty,5.275
246,17,2018,W1_Comdty,4.955
247,16,2018,W1_Comdty,4.6325
248,15,2018,W1_Comdty,4.725
249,14,2018,W1_Comdty,4.7225
250,13,2018,W1_Comdty,4.51
251,12,2018,W1_Comdty,4.6025
252,11,2018,W1_Comdty,4.6775
253,10,2018,W1_Comdty,4.89
254,9,2018,W1_Comdty,4.92
255,8,2018,W1_Comdty,4.5225
256,7,2018,W1_Comdty,4.5775
257,6,2018,W1_Comdty,4.49
258,5,2018,W1_Comdty,4.4675
259,4,2018,W1_Comdty,4.41
260,3,2018,W1_Comdty,4.2275
261,2,2018,W1_Comdty,4.205
262,1,2018,W1_Comdty,4.3075
263,52,2017,W1_Comdty,4.27
264,51,2017,W1_Comdty,4.2475
265,50,2017,W1_Comdty,4.1825
266,49,2017,W1_Comdty,3.92
267,48,2017,W1_Comdty,4.145
268,47,2017,W1_Comdty,4.1575
269,46,2017,W1_Comdty,4.2725
270,45,2017,W1_Comdty,4.315
271,44,2017,W1_Comdty,4.2575
272,43,2017,W1_Comdty,4.2725
273,42,2017,W1_Comdty,4.26
274,41,2017,W1_Comdty,4.395
275,40,2017,W1_Comdty,4.435
276,39,2017,W1_Comdty,4.4825
277,38,2017,W1_Comdty,4.495
278,37,2017,W1_Comdty,4.49
279,36,2017,W1_Comdty,4.1375
280,35,2017,W1_Comdty,4.205
281,34,2017,W1_Comdty,4.095
282,33,2017,W1_Comdty,4.16
283,32,2017,W1_Comdty,4.3925
284,31,2017,W1_Comdty,4.5475
285,30,2017,W1_Comdty,4.81
286,29,2017,W1_Comdty,4.9925
287,28,2017,W1_Comdty,4.9475
288,27,2017,W1_Comdty,5.1525
289,26,2017,W1_Comdty,5.11
290,25,2017,W1_Comdty,4.5975
291,24,2017,W1_Comdty,4.6525
292,23,2017,W1_Comdty,4.4575
293,22,2017,W1_Comdty,4.295
294,21,2017,W1_Comdty,4.3825
295,20,2017,W1_Comdty,4.3525
296,19,2017,W1_Comdty,4.25
297,18,2017,W1_Comdty,4.275
298,17,2017,W1_Comdty,4.185
299,16,2017,W1_Comdty,4.05
300,15,2017,W1_Comdty,4.2975
301,14,2017,W1_Comdty,4.24
302,13,2017,W1_Comdty,4.265
303,12,2017,W1_Comdty,4.2475
304,11,2017,W1_Comdty,4.3625
305,10,2017,W1_Comdty,4.2275
306,9,2017,W1_Comdty,4.3375
307,8,2017,W1_Comdty,4.3125
308,7,2017,W1_Comdty,4.41
309,6,2017,W1_Comdty,4.49
310,5,2017,W1_Comdty,4.3025
311,4,2017,W1_Comdty,4.205
312,3,2017,W1_Comdty,4.2825
313,2,2017,W1_Comdty,4.26
314,1,2017,W1_Comdty,4.2325
315,52,2016,W1_Comdty,4.08
316,51,2016,W1_Comdty,3.935
317,50,2016,W1_Comdty,4.0925
318,49,2016,W1_Comdty,4.0025
319,48,2016,W1_Comdty,3.875
320,47,2016,W1_Comdty,3.9575
321,46,2016,W1_Comdty,4.08
322,45,2016,W1_Comdty,4.03
323,44,2016,W1_Comdty,4.1425
324,43,2016,W1_Comdty,4.085
325,42,2016,W1_Comdty,4.145
326,41,2016,W1_Comdty,4.21
327,40,2016,W1_Comdty,3.9475
328,39,2016,W1_Comdty,4.02
329,38,2016,W1_Comdty,4.0475
330,37,2016,W1_Comdty,4.0325
331,36,2016,W1_Comdty,3.76
332,35,2016,W1_Comdty,3.7325
333,34,2016,W1_Comdty,3.835
334,33,2016,W1_Comdty,4.27
335,32,2016,W1_Comdty,4.225
336,31,2016,W1_Comdty,4.16
337,30,2016,W1_Comdty,4.0775
338,29,2016,W1_Comdty,4.2525
339,28,2016,W1_Comdty,4.2475
340,27,2016,W1_Comdty,4.2075
341,26,2016,W1_Comdty,4.1625
342,25,2016,W1_Comdty,4.5475
343,24,2016,W1_Comdty,4.8125
344,23,2016,W1_Comdty,4.95
345,22,2016,W1_Comdty,4.9725
346,21,2016,W1_Comdty,4.815
347,20,2016,W1_Comdty,4.6775
348,19,2016,W1_Comdty,4.65
349,18,2016,W1_Comdty,4.5325
350,17,2016,W1_Comdty,4.78
351,16,2016,W1_Comdty,4.67
352,15,2016,W1_Comdty,4.5975
353,14,2016,W1_Comdty,4.6025
354,13,2016,W1_Comdty,4.7575
355,12,2016,W1_Comdty,4.63
356,11,2016,W1_Comdty,4.63
357,10,2016,W1_Comdty,4.6975
358,9,2016,W1_Comdty,4.5475
359,8,2016,W1_Comdty,4.4325
360,7,2016,W1_Comdty,4.6175
361,6,2016,W1_Comdty,4.575
362,5,2016,W1_Comdty,4.6675
363,4,2016,W1_Comdty,4.7925
364,3,2016,W1_Comdty,4.755
365,2,2016,W1_Comdty,4.7375
366,1,2016,W1_Comdty,4.785
367,53,2016,W1_Comdty,4.7
368,52,2015,W1_Comdty,4.675
369,51,2015,W1_Comdty,4.8675
370,50,2015,W1_Comdty,4.8275
371,49,2015,W1_Comdty,4.7125
372,48,2015,W1_Comdty,4.6575
373,47,2015,W1_Comdty,4.885
374,46,2015,W1_Comdty,4.9575
375,45,2015,W1_Comdty,5.2325
376,44,2015,W1_Comdty,5.22
377,43,2015,W1_Comdty,4.905
378,42,2015,W1_Comdty,4.9225
379,41,2015,W1_Comdty,5.0925
380,40,2015,W1_Comdty,5.1325
381,39,2015,W1_Comdty,5.0775
382,38,2015,W1_Comdty,4.8675
383,37,2015,W1_Comdty,4.755
384,36,2015,W1_Comdty,4.5775
385,35,2015,W1_Comdty,4.77
386,34,2015,W1_Comdty,4.995
387,33,2015,W1_Comdty,5.065
388,32,2015,W1_Comdty,5.105
389,31,2015,W1_Comdty,4.9925
390,30,2015,W1_Comdty,5.1175
391,29,2015,W1_Comdty,5.54
392,28,2015,W1_Comdty,5.815
393,27,2015,W1_Comdty,5.8575
394,26,2015,W1_Comdty,5.6225
395,25,2015,W1_Comdty,4.885
396,24,2015,W1_Comdty,5.0375
397,23,2015,W1_Comdty,5.17
398,22,2015,W1_Comdty,4.77
399,21,2015,W1_Comdty,5.1525
400,20,2015,W1_Comdty,5.11
401,19,2015,W1_Comdty,4.765
402,18,2015,W1_Comdty,4.7
403,17,2015,W1_Comdty,4.86
404,16,2015,W1_Comdty,4.945
405,15,2015,W1_Comdty,5.265
406,14,2015,W1_Comdty,5.3625
407,13,2015,W1_Comdty,5.0775
408,12,2015,W1_Comdty,5.3
409,11,2015,W1_Comdty,5.0875
410,10,2015,W1_Comdty,4.8575
411,9,2015,W1_Comdty,5.175
412,8,2015,W1_Comdty,5.1025
413,7,2015,W1_Comdty,5.33
414,6,2015,W1_Comdty,5.27
415,5,2015,W1_Comdty,5.0275
416,4,2015,W1_Comdty,5.3
417,3,2015,W1_Comdty,5.3275
418,2,2015,W1_Comdty,5.6375
419,2,2023,KW!_Comdty,8.4375
420,1,2023,KW!_Comdty,8.32
421,52,2022,KW!_Comdty,8.88
422,51,2022,KW!_Comdty,8.7475
423,50,2022,KW!_Comdty,8.44
424,49,2022,KW!_Comdty,8.5075
425,48,2022,KW!_Comdty,8.82
426,47,2022,KW!_Comdty,9.22
427,46,2022,KW!_Comdty,9.3425
428,45,2022,KW!_Comdty,9.435
429,44,2022,KW!_Comdty,9.5325
430,43,2022,KW!_Comdty,9.25
431,42,2022,KW!_Comdty,9.4825
432,41,2022,KW!_Comdty,9.5225
433,40,2022,KW!_Comdty,9.6875
434,39,2022,KW!_Comdty,9.915
435,38,2022,KW!_Comdty,9.505
436,37,2022,KW!_Comdty,9.3525
437,36,2022,KW!_Comdty,9.2925
438,35,2022,KW!_Comdty,8.715
439,34,2022,KW!_Comdty,8.8325
440,33,2022,KW!_Comdty,8.4475
441,32,2022,KW!_Comdty,8.8925
442,31,2022,KW!_Comdty,8.4825
443,30,2022,KW!_Comdty,8.745
444,29,2022,KW!_Comdty,8.2025
445,28,2022,KW!_Comdty,8.375
446,27,2022,KW!_Comdty,9.5075
447,26,2022,KW!_Comdty,9.11
448,25,2022,KW!_Comdty,9.925
449,24,2022,KW!_Comdty,11.05
450,23,2022,KW!_Comdty,11.625
451,22,2022,KW!_Comdty,11.21
452,21,2022,KW!_Comdty,12.3525
453,20,2022,KW!_Comdty,12.5275
454,19,2022,KW!_Comdty,12.5275
455,18,2022,KW!_Comdty,11.5925
456,17,2022,KW!_Comdty,10.9425
457,16,2022,KW!_Comdty,11.4275
458,15,2022,KW!_Comdty,11.54
459,14,2022,KW!_Comdty,11.0675
460,13,2022,KW!_Comdty,10.13
461,12,2022,KW!_Comdty,11.1075
462,11,2022,KW!_Comdty,10.705
463,10,2022,KW!_Comdty,10.7575
464,9,2022,KW!_Comdty,12.0075
465,8,2022,KW!_Comdty,8.8675
466,7,2022,KW!_Comdty,8.3525
467,6,2022,KW!_Comdty,8.2425
468,5,2022,KW!_Comdty,7.8575
469,4,2022,KW!_Comdty,8.0225
470,3,2022,KW!_Comdty,7.9325
471,2,2022,KW!_Comdty,7.45
472,1,2022,KW!_Comdty,7.75
473,52,2021,KW!_Comdty,8.015
474,51,2021,KW!_Comdty,8.615
475,50,2021,KW!_Comdty,8.1
476,49,2021,KW!_Comdty,8.015
477,48,2021,KW!_Comdty,8.22
478,47,2021,KW!_Comdty,8.65
479,46,2021,KW!_Comdty,8.3475
480,45,2021,KW!_Comdty,8.33
481,44,2021,KW!_Comdty,7.7875
482,43,2021,KW!_Comdty,7.8575
483,42,2021,KW!_Comdty,7.74
484,41,2021,KW!_Comdty,7.4375
485,40,2021,KW!_Comdty,7.375
486,39,2021,KW!_Comdty,7.595
487,38,2021,KW!_Comdty,7.1975
488,37,2021,KW!_Comdty,7.13
489,36,2021,KW!_Comdty,6.7625
490,35,2021,KW!_Comdty,7.1525
491,34,2021,KW!_Comdty,7.1225
492,33,2021,KW!_Comdty,7.02
493,32,2021,KW!_Comdty,7.4225
494,31,2021,KW!_Comdty,7.0575
495,30,2021,KW!_Comdty,6.7325
496,29,2021,KW!_Comdty,6.46
497,28,2021,KW!_Comdty,6.515
498,27,2021,KW!_Comdty,5.99
499,26,2021,KW!_Comdty,6.1125
500,25,2021,KW!_Comdty,6.0025
501,24,2021,KW!_Comdty,6.065
502,23,2021,KW!_Comdty,6.38
503,22,2021,KW!_Comdty,6.365
504,21,2021,KW!_Comdty,6.1325
505,20,2021,KW!_Comdty,6.24
506,19,2021,KW!_Comdty,6.5175
507,18,2021,KW!_Comdty,7.2775
508,17,2021,KW!_Comdty,6.9825
509,16,2021,KW!_Comdty,6.7325
510,15,2021,KW!_Comdty,6.0925
511,14,2021,KW!_Comdty,5.865
512,13,2021,KW!_Comdty,5.65
513,12,2021,KW!_Comdty,5.6825
514,11,2021,KW!_Comdty,5.855
515,10,2021,KW!_Comdty,5.95
516,9,2021,KW!_Comdty,6.1725
517,8,2021,KW!_Comdty,6.2475
518,7,2021,KW!_Comdty,6.3175
519,6,2021,KW!_Comdty,6.1675
520,5,2021,KW!_Comdty,6.2525
521,4,2021,KW!_Comdty,6.38
522,3,2021,KW!_Comdty,6.1325
523,2,2021,KW!_Comdty,6.43
524,1,2021,KW!_Comdty,5.9475
525,53,2021,KW!_Comdty,6.035
526,52,2020,KW!_Comdty,5.89
527,51,2020,KW!_Comdty,5.6925
528,50,2020,KW!_Comdty,5.79
529,49,2020,KW!_Comdty,5.4125
530,48,2020,KW!_Comdty,5.615
531,47,2020,KW!_Comdty,5.5025
532,46,2020,KW!_Comdty,5.52
533,45,2020,KW!_Comdty,5.5525
534,44,2020,KW!_Comdty,5.4125
535,43,2020,KW!_Comdty,5.6975
536,42,2020,KW!_Comdty,5.5875
537,41,2020,KW!_Comdty,5.355
538,40,2020,KW!_Comdty,5.095
539,39,2020,KW!_Comdty,4.7525
540,38,2020,KW!_Comdty,5.0425
541,37,2020,KW!_Comdty,4.735
542,36,2020,KW!_Comdty,4.745
543,35,2020,KW!_Comdty,4.6175
544,34,2020,KW!_Comdty,4.4575
545,33,2020,KW!_Comdty,4.2525
546,32,2020,KW!_Comdty,4.155
547,31,2020,KW!_Comdty,4.425
548,30,2020,KW!_Comdty,4.495
549,29,2020,KW!_Comdty,4.4875
550,28,2020,KW!_Comdty,4.4725
551,27,2020,KW!_Comdty,4.2725
552,26,2020,KW!_Comdty,4.2125
553,25,2020,KW!_Comdty,4.2825
554,24,2020,KW!_Comdty,4.485
555,23,2020,KW!_Comdty,4.6125
556,22,2020,KW!_Comdty,4.705
557,21,2020,KW!_Comdty,4.445
558,20,2020,KW!_Comdty,4.5225
559,19,2020,KW!_Comdty,5.04
560,18,2020,KW!_Comdty,4.82
561,17,2020,KW!_Comdty,4.7475
562,16,2020,KW!_Comdty,4.7875
563,15,2020,KW!_Comdty,4.92
564,14,2020,KW!_Comdty,4.72
565,13,2020,KW!_Comdty,4.8675
566,12,2020,KW!_Comdty,4.69
567,11,2020,KW!_Comdty,4.3125
568,10,2020,KW!_Comdty,4.3925
569,9,2020,KW!_Comdty,4.455
570,8,2020,KW!_Comdty,4.685
571,7,2020,KW!_Comdty,4.655
572,6,2020,KW!_Comdty,4.725
573,5,2020,KW!_Comdty,4.655
574,4,2020,KW!_Comdty,4.86
575,3,2020,KW!_Comdty,4.9425
576,2,2020,KW!_Comdty,4.9475
577,1,2020,KW!_Comdty,4.75
578,52,2019,KW!_Comdty,4.7975
579,51,2019,KW!_Comdty,4.6225
580,50,2019,KW!_Comdty,4.275
581,49,2019,KW!_Comdty,4.15
582,48,2019,KW!_Comdty,4.3875
583,47,2019,KW!_Comdty,4.24
584,46,2019,KW!_Comdty,4.17
585,45,2019,KW!_Comdty,4.215
586,44,2019,KW!_Comdty,4.26
587,43,2019,KW!_Comdty,4.2275
588,42,2019,KW!_Comdty,4.3375
589,41,2019,KW!_Comdty,4.195
590,40,2019,KW!_Comdty,4.04
591,39,2019,KW!_Comdty,4.075
592,38,2019,KW!_Comdty,4.075
593,37,2019,KW!_Comdty,3.835
594,36,2019,KW!_Comdty,3.7525
595,35,2019,KW!_Comdty,3.7825
596,34,2019,KW!_Comdty,3.915
597,33,2019,KW!_Comdty,3.9425
598,32,2019,KW!_Comdty,4.17
599,31,2019,KW!_Comdty,4.2175
600,30,2019,KW!_Comdty,4.32
601,29,2019,KW!_Comdty,4.4
602,28,2019,KW!_Comdty,4.6125
603,27,2019,KW!_Comdty,4.39
604,26,2019,KW!_Comdty,4.515
605,25,2019,KW!_Comdty,4.525
606,24,2019,KW!_Comdty,4.7625
607,23,2019,KW!_Comdty,4.49
608,22,2019,KW!_Comdty,4.73
609,21,2019,KW!_Comdty,4.42
610,20,2019,KW!_Comdty,4.2025
611,19,2019,KW!_Comdty,3.7925
612,18,2019,KW!_Comdty,3.93
613,17,2019,KW!_Comdty,3.9975
614,16,2019,KW!_Comdty,4.2
615,15,2019,KW!_Comdty,4.3425
616,14,2019,KW!_Comdty,4.3125
617,13,2019,KW!_Comdty,4.3
618,12,2019,KW!_Comdty,4.45
619,11,2019,KW!_Comdty,4.43
620,10,2019,KW!_Comdty,4.2475
621,9,2019,KW!_Comdty,4.4075
622,8,2019,KW!_Comdty,4.585
623,7,2019,KW!_Comdty,4.765
624,6,2019,KW!_Comdty,4.9425
625,5,2019,KW!_Comdty,5.0875
626,4,2019,KW!_Comdty,5.095
627,3,2019,KW!_Comdty,5.06
628,2,2019,KW!_Comdty,5.045
629,1,2019,KW!_Comdty,5.06
630,52,2018,KW!_Comdty,4.96
631,51,2018,KW!_Comdty,5.0275
632,50,2018,KW!_Comdty,4.925
633,49,2018,KW!_Comdty,4.845
634,48,2018,KW!_Comdty,4.865
635,47,2018,KW!_Comdty,4.6125
636,46,2018,KW!_Comdty,4.8275
637,45,2018,KW!_Comdty,4.875
638,44,2018,KW!_Comdty,5.0425
639,43,2018,KW!_Comdty,5.0025
640,42,2018,KW!_Comdty,5.1625
641,41,2018,KW!_Comdty,5.2425
642,40,2018,KW!_Comdty,5.2425
643,39,2018,KW!_Comdty,5.1125
644,38,2018,KW!_Comdty,5.2525
645,37,2018,KW!_Comdty,4.79
646,36,2018,KW!_Comdty,4.885
647,35,2018,KW!_Comdty,5.23
648,34,2018,KW!_Comdty,5.1925
649,33,2018,KW!_Comdty,5.65
650,32,2018,KW!_Comdty,5.5975
651,31,2018,KW!_Comdty,5.6725
652,30,2018,KW!_Comdty,5.325
653,29,2018,KW!_Comdty,5.085
654,28,2018,KW!_Comdty,4.6925
655,27,2018,KW!_Comdty,4.9225
656,26,2018,KW!_Comdty,4.7075
657,25,2018,KW!_Comdty,4.8875
658,24,2018,KW!_Comdty,5.1975
659,23,2018,KW!_Comdty,5.3825
660,22,2018,KW!_Comdty,5.4075
661,21,2018,KW!_Comdty,5.64
662,20,2018,KW!_Comdty,5.3875
663,19,2018,KW!_Comdty,5.0175
664,18,2018,KW!_Comdty,5.3575
665,17,2018,KW!_Comdty,5.1225
666,16,2018,KW!_Comdty,4.8275
667,15,2018,KW!_Comdty,4.9575
668,14,2018,KW!_Comdty,5.0675
669,13,2018,KW!_Comdty,4.6725
670,12,2018,KW!_Comdty,4.7925
671,11,2018,KW!_Comdty,4.995
672,10,2018,KW!_Comdty,5.08
673,9,2018,KW!_Comdty,5.22
674,8,2018,KW!_Comdty,4.69
675,7,2018,KW!_Comdty,4.785
676,6,2018,KW!_Comdty,4.655
677,5,2018,KW!_Comdty,4.6325
678,4,2018,KW!_Comdty,4.43
679,3,2018,KW!_Comdty,4.275
680,2,2018,KW!_Comdty,4.2625
681,1,2018,KW!_Comdty,4.375
682,52,2017,KW!_Comdty,4.2725
683,51,2017,KW!_Comdty,4.2225
684,50,2017,KW!_Comdty,4.175
685,49,2017,KW!_Comdty,4.0075
686,48,2017,KW!_Comdty,4.205
687,47,2017,KW!_Comdty,4.145
688,46,2017,KW!_Comdty,4.22
689,45,2017,KW!_Comdty,4.3325
690,44,2017,KW!_Comdty,4.2675
691,43,2017,KW!_Comdty,4.2525
692,42,2017,KW!_Comdty,4.2275
693,41,2017,KW!_Comdty,4.3625
694,40,2017,KW!_Comdty,4.3675
695,39,2017,KW!_Comdty,4.4275
696,38,2017,KW!_Comdty,4.5025
697,37,2017,KW!_Comdty,4.46
698,36,2017,KW!_Comdty,4.155
699,35,2017,KW!_Comdty,4.125
700,34,2017,KW!_Comdty,4.045
