,Location,Attribute,Value,Year,Week
122,Grace / Soda Springs,Barley_Feed,6.75,2020.0,45.0
123,Burley / Rupert,Barley_Feed,,2020.0,45.0
126,Nampa / Weiser,Barley_Feed,,2020.0,45.0
127,Nezperce / Craigmont,Barley_Feed,4.71,2020.0,45.0
128,Lewiston,Barley_Feed,5.23,2020.0,45.0
130,Rexburg / Ririe,Barley_Feed,,2022.0,29.0
131,Idaho Falls,Barley_Feed,,2022.0,29.0
132,Blackfoot / Pocatello,Barley_Feed,,2022.0,29.0
133,Grace / Soda Springs,Barley_Feed,13.25,2022.0,29.0
134,Burley / Rupert,Barley_Feed,,2022.0,29.0
137,Meridian,Barley_Feed,13.5,2022.0,29.0
138,Nezperce / Craigmont,Barley_Feed,9.71,2022.0,29.0
139,Lewiston,Barley_Feed,10.23,2022.0,29.0
141,Rexburg / Ririe,Barley_Feed,,2022.0,45.0
142,Idaho Falls,Barley_Feed,,2022.0,45.0
143,Blackfoot / Pocatello,Barley_Feed,,2022.0,45.0
144,Grace / Soda Springs,Barley_Feed,13.35,2022.0,45.0
145,Burley / Rupert,Barley_Feed,,2022.0,45.0
148,Meridian,Barley_Feed,12.5,2022.0,45.0
149,Nezperce / Craigmont,Barley_Feed,9.71,2022.0,45.0
150,Lewiston,Barley_Feed,10.23,2022.0,45.0
151,Rexburg / Ririe,Barley_Feed,14.0,2022.0,51.0
152,Idaho Falls,Barley_Feed,,2022.0,51.0
153,Blackfoot / Pocatello,Barley_Feed,,2022.0,51.0
154,Grace / Soda Springs,Barley_Feed,13.35,2022.0,51.0
155,Burley / Rupert,Barley_Feed,,2022.0,51.0
158,Meridian,Barley_Feed,12.5,2022.0,51.0
159,Nezperce / Craigmont,Barley_Feed,10.46,2022.0,51.0
160,Lewiston,Barley_Feed,10.98,2022.0,51.0
161,Rexburg / Ririe,Barley_Feed,,2021.0,28.0
162,Idaho Falls,Barley_Feed,,2021.0,28.0
163,Blackfoot / Pocatello,Barley_Feed,,2021.0,28.0
164,Grace / Soda Springs,Barley_Feed,8.0,2021.0,28.0
165,Burley / Rupert,Barley_Feed,9.0,2021.0,28.0
168,Meridian,Barley_Feed,12.0,2021.0,28.0
169,Nezperce / Craigmont,Barley_Feed,8.21,2021.0,28.0
170,Lewiston,Barley_Feed,8.73,2021.0,28.0
172,Rexburg / Ririe,Barley_Feed,,2021.0,50.0
173,Idaho Falls,Barley_Feed,,2021.0,50.0
174,Blackfoot / Pocatello,Barley_Feed,,2021.0,50.0
175,Grace / Soda Springs,Barley_Feed,10.0,2021.0,50.0
176,Burley / Rupert,Barley_Feed,11.75,2021.0,50.0
179,Meridian,Barley_Feed,12.0,2021.0,50.0
180,Nezperce / Craigmont,Barley_Feed,11.21,2021.0,50.0
181,Lewiston,Barley_Feed,11.73,2021.0,50.0
183,Rexburg / Ririe,Barley_Feed,14.0,2022.0,41.0
184,Idaho Falls,Barley_Feed,,2022.0,41.0
185,Blackfoot / Pocatello,Barley_Feed,,2022.0,41.0
186,Grace / Soda Springs,Barley_Feed,12.75,2022.0,41.0
187,Burley / Rupert,Barley_Feed,,2022.0,41.0
190,Meridian,Barley_Feed,12.5,2022.0,41.0
191,Nezperce / Craigmont,Barley_Feed,9.71,2022.0,41.0
192,Lewiston,Barley_Feed,10.23,2022.0,41.0
193,Rexburg / Ririe,Barley_Feed,14.0,2022.0,43.0
194,Idaho Falls,Barley_Feed,,2022.0,43.0
195,Blackfoot / Pocatello,Barley_Feed,,2022.0,43.0
196,Grace / Soda Springs,Barley_Feed,13.0,2022.0,43.0
197,Burley / Rupert,Barley_Feed,,2022.0,43.0
200,Meridian,Barley_Feed,12.5,2022.0,43.0
201,Nezperce / Craigmont,Barley_Feed,9.71,2022.0,43.0
202,Lewiston,Barley_Feed,10.23,2022.0,43.0
203,Rexburg / Ririe,Barley_Feed,,2022.0,24.0
204,Idaho Falls,Barley_Feed,,2022.0,24.0
205,Blackfoot / Pocatello,Barley_Feed,,2022.0,24.0
206,Grace / Soda Springs,Barley_Feed,14.5,2022.0,24.0
207,Burley / Rupert,Barley_Feed,,2022.0,24.0
210,Meridian,Barley_Feed,12.0,2022.0,24.0
211,Nezperce / Craigmont,Barley_Feed,11.96,2022.0,24.0
212,Lewiston,Barley_Feed,12.48,2022.0,24.0
214,Rexburg / Ririe,Barley_Feed,6.5,2021.0,9.0
215,Idaho Falls,Barley_Feed,,2021.0,9.0
216,Blackfoot / Pocatello,Barley_Feed,,2021.0,9.0
217,Grace / Soda Springs,Barley_Feed,8.0,2021.0,9.0
218,Burley / Rupert,Barley_Feed,9.0,2021.0,9.0
221,Meridian,Barley_Feed,6.75,2021.0,9.0
222,Nezperce / Craigmont,Barley_Feed,6.21,2021.0,9.0
223,Lewiston,Barley_Feed,6.73,2021.0,9.0
225,Rexburg / Ririe,Barley_Feed,13.0,2022.0,28.0
226,Idaho Falls,Barley_Feed,,2022.0,28.0
227,Blackfoot / Pocatello,Barley_Feed,,2022.0,28.0
228,Grace / Soda Springs,Barley_Feed,13.75,2022.0,28.0
229,Burley / Rupert,Barley_Feed,,2022.0,28.0
232,Meridian,Barley_Feed,12.5,2022.0,28.0
233,Nezperce / Craigmont,Barley_Feed,,2022.0,28.0
234,Lewiston,Barley_Feed,,2022.0,28.0
236,Rexburg / Ririe,Barley_Feed,11.25,2021.0,35.0
237,Idaho Falls,Barley_Feed,,2021.0,35.0
238,Blackfoot / Pocatello,Barley_Feed,,2021.0,35.0
239,Grace / Soda Springs,Barley_Feed,9.2,2021.0,35.0
240,Burley / Rupert,Barley_Feed,10.75,2021.0,35.0
243,Meridian,Barley_Feed,12.0,2021.0,35.0
244,Nezperce / Craigmont,Barley_Feed,8.21,2021.0,35.0
245,Lewiston,Barley_Feed,8.73,2021.0,35.0
247,Rexburg / Ririe,Barley_Feed,,2021.0,14.0
248,Idaho Falls,Barley_Feed,,2021.0,14.0
249,Blackfoot / Pocatello,Barley_Feed,,2021.0,14.0
250,Grace / Soda Springs,Barley_Feed,8.0,2021.0,14.0
251,Burley / Rupert,Barley_Feed,8.5,2021.0,14.0
254,Meridian,Barley_Feed,9.0,2021.0,14.0
255,Nezperce / Craigmont,Barley_Feed,6.71,2021.0,14.0
256,Lewiston,Barley_Feed,7.23,2021.0,14.0
258,Rexburg / Ririe,Barley_Feed,,2020.0,41.0
259,Idaho Falls,Barley_Feed,,2020.0,41.0
260,Blackfoot / Pocatello,Barley_Feed,,2020.0,41.0
261,Grace / Soda Springs,Barley_Feed,6.5,2020.0,41.0
262,Burley / Rupert,Barley_Feed,6.25,2020.0,41.0
265,Nampa / Weiser,Barley_Feed,,2020.0,41.0
266,Nezperce / Craigmont,Barley_Feed,4.71,2020.0,41.0
267,Lewiston,Barley_Feed,5.23,2020.0,41.0
269,Rexburg / Ririe,Barley_Feed,,2021.0,42.0
270,Idaho Falls,Barley_Feed,,2021.0,42.0
271,Blackfoot / Pocatello,Barley_Feed,,2021.0,42.0
272,Grace / Soda Springs,Barley_Feed,10.0,2021.0,42.0
273,Burley / Rupert,Barley_Feed,11.0,2021.0,42.0
276,Meridian,Barley_Feed,12.0,2021.0,42.0
277,Nezperce / Craigmont,Barley_Feed,10.21,2021.0,42.0
278,Lewiston,Barley_Feed,10.73,2021.0,42.0
280,Rexburg / Ririe,Barley_Feed,9.0,2021.0,23.0
281,Idaho Falls,Barley_Feed,,2021.0,23.0
282,Blackfoot / Pocatello,Barley_Feed,,2021.0,23.0
283,Grace / Soda Springs,Barley_Feed,8.0,2021.0,23.0
284,Burley / Rupert,Barley_Feed,9.5,2021.0,23.0
287,Meridian,Barley_Feed,12.0,2021.0,23.0
288,Nezperce / Craigmont,Barley_Feed,7.71,2021.0,23.0
289,Lewiston,Barley_Feed,8.23,2021.0,23.0
291,Rexburg / Ririe,Barley_Feed,,2020.0,50.0
292,Idaho Falls,Barley_Feed,,2020.0,50.0
293,Blackfoot / Pocatello,Barley_Feed,,2020.0,50.0
294,Grace / Soda Springs,Barley_Feed,6.75,2020.0,50.0
295,Burley / Rupert,Barley_Feed,7.0,2020.0,50.0
298,Nampa / Weiser,Barley_Feed,,2020.0,50.0
299,Nezperce / Craigmont,Barley_Feed,4.96,2020.0,50.0
300,Lewiston,Barley_Feed,5.48,2020.0,50.0
302,Rexburg / Ririe,Barley_Feed,14.0,2022.0,46.0
303,Idaho Falls,Barley_Feed,,2022.0,46.0
304,Blackfoot / Pocatello,Barley_Feed,,2022.0,46.0
305,Grace / Soda Springs,Barley_Feed,13.35,2022.0,46.0
306,Burley / Rupert,Barley_Feed,,2022.0,46.0
309,Meridian,Barley_Feed,12.5,2022.0,46.0
310,Nezperce / Craigmont,Barley_Feed,9.71,2022.0,46.0
311,Lewiston,Barley_Feed,10.23,2022.0,46.0
312,Rexburg / Ririe,Barley_Feed,,2022.0,9.0
313,Idaho Falls,Barley_Feed,,2022.0,9.0
314,Blackfoot / Pocatello,Barley_Feed,,2022.0,9.0
315,Grace / Soda Springs,Barley_Feed,15.5,2022.0,9.0
316,Burley / Rupert,Barley_Feed,,2022.0,9.0
319,Meridian,Barley_Feed,12.5,2022.0,9.0
320,Nezperce / Craigmont,Barley_Feed,11.71,2022.0,9.0
321,Lewiston,Barley_Feed,12.23,2022.0,9.0
323,Rexburg / Ririe,Barley_Feed,14.75,2022.0,15.0
324,Idaho Falls,Barley_Feed,,2022.0,15.0
325,Blackfoot / Pocatello,Barley_Feed,,2022.0,15.0
326,Grace / Soda Springs,Barley_Feed,15.5,2022.0,15.0
327,Burley / Rupert,Barley_Feed,,2022.0,15.0
330,Meridian,Barley_Feed,12.5,2022.0,15.0
331,Nezperce / Craigmont,Barley_Feed,11.71,2022.0,15.0
332,Lewiston,Barley_Feed,12.23,2022.0,15.0
334,Rexburg / Ririe,Barley_Feed,,2022.0,25.0
335,Idaho Falls,Barley_Feed,,2022.0,25.0
336,Blackfoot / Pocatello,Barley_Feed,,2022.0,25.0
337,Grace / Soda Springs,Barley_Feed,14.25,2022.0,25.0
338,Burley / Rupert,Barley_Feed,,2022.0,25.0
341,Meridian,Barley_Feed,12.5,2022.0,25.0
342,Nezperce / Craigmont,Barley_Feed,11.96,2022.0,25.0
343,Lewiston,Barley_Feed,12.48,2022.0,25.0
345,Rexburg / Ririe,Barley_Feed,14.0,2022.0,42.0
346,Idaho Falls,Barley_Feed,,2022.0,42.0
347,Blackfoot / Pocatello,Barley_Feed,,2022.0,42.0
348,Grace / Soda Springs,Barley_Feed,12.75,2022.0,42.0
349,Burley / Rupert,Barley_Feed,,2022.0,42.0
352,Meridian,Barley_Feed,12.5,2022.0,42.0
353,Nezperce / Craigmont,Barley_Feed,9.71,2022.0,42.0
354,Lewiston,Barley_Feed,10.23,2022.0,42.0
355,Rexburg / Ririe,Barley_Feed,9.25,2021.0,15.0
356,Idaho Falls,Barley_Feed,,2021.0,15.0
357,Blackfoot / Pocatello,Barley_Feed,,2021.0,15.0
358,Grace / Soda Springs,Barley_Feed,8.0,2021.0,15.0
359,Burley / Rupert,Barley_Feed,8.75,2021.0,15.0
362,Meridian,Barley_Feed,9.0,2021.0,15.0
363,Nezperce / Craigmont,Barley_Feed,6.71,2021.0,15.0
364,Lewiston,Barley_Feed,7.23,2021.0,15.0
366,Rexburg / Ririe,Barley_Feed,14.75,2022.0,16.0
367,Idaho Falls,Barley_Feed,,2022.0,16.0
368,Blackfoot / Pocatello,Barley_Feed,,2022.0,16.0
369,Grace / Soda Springs,Barley_Feed,15.5,2022.0,16.0
370,Burley / Rupert,Barley_Feed,,2022.0,16.0
373,Meridian,Barley_Feed,12.5,2022.0,16.0
374,Nezperce / Craigmont,Barley_Feed,11.71,2022.0,16.0
375,Lewiston,Barley_Feed,12.23,2022.0,16.0
377,Rexburg / Ririe,Barley_Feed,12.5,2021.0,41.0
378,Idaho Falls,Barley_Feed,,2021.0,41.0
379,Blackfoot / Pocatello,Barley_Feed,,2021.0,41.0
380,Grace / Soda Springs,Barley_Feed,10.0,2021.0,41.0
381,Burley / Rupert,Barley_Feed,11.0,2021.0,41.0
384,Meridian,Barley_Feed,12.0,2021.0,41.0
385,Nezperce / Craigmont,Barley_Feed,10.21,2021.0,41.0
386,Lewiston,Barley_Feed,10.73,2021.0,41.0
388,Rexburg / Ririe,Barley_Feed,8.75,2021.0,25.0
389,Idaho Falls,Barley_Feed,,2021.0,25.0
390,Blackfoot / Pocatello,Barley_Feed,,2021.0,25.0
391,Grace / Soda Springs,Barley_Feed,8.0,2021.0,25.0
392,Burley / Rupert,Barley_Feed,9.5,2021.0,25.0
395,Meridian,Barley_Feed,12.0,2021.0,25.0
396,Nezperce / Craigmont,Barley_Feed,8.21,2021.0,25.0
397,Lewiston,Barley_Feed,8.73,2021.0,25.0
399,Rexburg / Ririe,Barley_Feed,,2021.0,18.0
400,Idaho Falls,Barley_Feed,,2021.0,18.0
401,Blackfoot / Pocatello,Barley_Feed,,2021.0,18.0
402,Grace / Soda Springs,Barley_Feed,8.0,2021.0,18.0
403,Burley / Rupert,Barley_Feed,,2021.0,18.0
406,Meridian,Barley_Feed,9.0,2021.0,18.0
407,Nezperce / Craigmont,Barley_Feed,7.71,2021.0,18.0
408,Lewiston,Barley_Feed,8.23,2021.0,18.0
410,Rexburg / Ririe,Barley_Feed,14.0,2022.0,39.0
411,Idaho Falls,Barley_Feed,,2022.0,39.0
412,Blackfoot / Pocatello,Barley_Feed,,2022.0,39.0
413,Grace / Soda Springs,Barley_Feed,12.5,2022.0,39.0
414,Burley / Rupert,Barley_Feed,,2022.0,39.0
417,Meridian,Barley_Feed,12.5,2022.0,39.0
418,Nezperce / Craigmont,Barley_Feed,10.21,2022.0,39.0
419,Lewiston,Barley_Feed,10.73,2022.0,39.0
421,Rexburg / Ririe,Barley_Feed,,2021.0,8.0
422,Idaho Falls,Barley_Feed,,2021.0,8.0
423,Blackfoot / Pocatello,Barley_Feed,,2021.0,8.0
424,Grace / Soda Springs,Barley_Feed,8.0,2021.0,8.0
425,Burley / Rupert,Barley_Feed,,2021.0,8.0
428,Meridian,Barley_Feed,6.75,2021.0,8.0
429,Nezperce / Craigmont,Barley_Feed,6.21,2021.0,8.0
430,Lewiston,Barley_Feed,6.73,2021.0,8.0
432,Rexburg / Ririe,Barley_Feed,11.75,2021.0,38.0
433,Idaho Falls,Barley_Feed,,2021.0,38.0
434,Blackfoot / Pocatello,Barley_Feed,,2021.0,38.0
435,Grace / Soda Springs,Barley_Feed,9.5,2021.0,38.0
436,Burley / Rupert,Barley_Feed,11.0,2021.0,38.0
439,Meridian,Barley_Feed,12.0,2021.0,38.0
440,Nezperce / Craigmont,Barley_Feed,10.21,2021.0,38.0
441,Lewiston,Barley_Feed,10.73,2021.0,38.0
443,Rexburg / Ririe,Barley_Feed,,2022.0,23.0
444,Idaho Falls,Barley_Feed,,2022.0,23.0
445,Blackfoot / Pocatello,Barley_Feed,,2022.0,23.0
446,Grace / Soda Springs,Barley_Feed,14.5,2022.0,23.0
447,Burley / Rupert,Barley_Feed,,2022.0,23.0
450,Meridian,Barley_Feed,12.0,2022.0,23.0
451,Nezperce / Craigmont,Barley_Feed,11.96,2022.0,23.0
452,Lewiston,Barley_Feed,12.48,2022.0,23.0
454,Rexburg / Ririe,Barley_Feed,14.0,2022.0,10.0
455,Idaho Falls,Barley_Feed,,2022.0,10.0
456,Blackfoot / Pocatello,Barley_Feed,,2022.0,10.0
457,Grace / Soda Springs,Barley_Feed,15.5,2022.0,10.0
458,Burley / Rupert,Barley_Feed,,2022.0,10.0
461,Meridian,Barley_Feed,12.5,2022.0,10.0
462,Nezperce / Craigmont,Barley_Feed,11.71,2022.0,10.0
463,Lewiston,Barley_Feed,12.23,2022.0,10.0
465,Rexburg / Ririe,Barley_Feed,9.0,2021.0,12.0
466,Idaho Falls,Barley_Feed,,2021.0,12.0
467,Blackfoot / Pocatello,Barley_Feed,,2021.0,12.0
468,Grace / Soda Springs,Barley_Feed,8.0,2021.0,12.0
469,Burley / Rupert,Barley_Feed,9.0,2021.0,12.0
472,Meridian,Barley_Feed,9.0,2021.0,12.0
473,Nezperce / Craigmont,Barley_Feed,6.71,2021.0,12.0
474,Lewiston,Barley_Feed,7.23,2021.0,12.0
476,Rexburg / Ririe,Barley_Feed,,2021.0,7.0
477,Idaho Falls,Barley_Feed,,2021.0,7.0
478,Blackfoot / Pocatello,Barley_Feed,,2021.0,7.0
479,Grace / Soda Springs,Barley_Feed,8.0,2021.0,7.0
480,Burley / Rupert,Barley_Feed,8.25,2021.0,7.0
483,Meridian,Barley_Feed,6.75,2021.0,7.0
484,Nezperce / Craigmont,Barley_Feed,6.2,2021.0,7.0
485,Lewiston,Barley_Feed,6.73,2021.0,7.0
487,Rexburg / Ririe,Barley_Feed,13.0,2022.0,3.0
488,Idaho Falls,Barley_Feed,,2022.0,3.0
489,Blackfoot / Pocatello,Barley_Feed,,2022.0,3.0
490,Grace / Soda Springs,Barley_Feed,14.75,2022.0,3.0
491,Burley / Rupert,Barley_Feed,11.5,2022.0,3.0
494,Meridian,Barley_Feed,12.0,2022.0,3.0
495,Nezperce / Craigmont,Barley_Feed,11.21,2022.0,3.0
496,Lewiston,Barley_Feed,11.73,2022.0,3.0
498,Rexburg / Ririe,Barley_Feed,,2022.0,38.0
499,Idaho Falls,Barley_Feed,,2022.0,38.0
500,Blackfoot / Pocatello,Barley_Feed,,2022.0,38.0
501,Grace / Soda Springs,Barley_Feed,12.25,2022.0,38.0
502,Burley / Rupert,Barley_Feed,,2022.0,38.0
505,Meridian,Barley_Feed,12.5,2022.0,38.0
506,Nezperce / Craigmont,Barley_Feed,10.21,2022.0,38.0
507,Lewiston,Barley_Feed,10.73,2022.0,38.0
509,Rexburg / Ririe,Barley_Feed,11.0,2021.0,26.0
510,Idaho Falls,Barley_Feed,,2021.0,26.0
511,Blackfoot / Pocatello,Barley_Feed,,2021.0,26.0
512,Grace / Soda Springs,Barley_Feed,8.0,2021.0,26.0
513,Burley / Rupert,Barley_Feed,9.5,2021.0,26.0
516,Meridian,Barley_Feed,12.0,2021.0,26.0
517,Nezperce / Craigmont,Barley_Feed,8.21,2021.0,26.0
518,Lewiston,Barley_Feed,8.73,2021.0,26.0
520,Rexburg / Ririe,Barley_Feed,14.0,2022.0,12.0
521,Idaho Falls,Barley_Feed,,2022.0,12.0
522,Blackfoot / Pocatello,Barley_Feed,,2022.0,12.0
523,Grace / Soda Springs,Barley_Feed,,2022.0,12.0
524,Burley / Rupert,Barley_Feed,,2022.0,12.0
527,Meridian,Barley_Feed,12.5,2022.0,12.0
528,Nezperce / Craigmont,Barley_Feed,11.71,2022.0,12.0
529,Lewiston,Barley_Feed,12.23,2022.0,12.0
531,Rexburg / Ririe,Barley_Feed,,2021.0,37.0
532,Idaho Falls,Barley_Feed,,2021.0,37.0
533,Blackfoot / Pocatello,Barley_Feed,,2021.0,37.0
534,Grace / Soda Springs,Barley_Feed,,2021.0,37.0
535,Burley / Rupert,Barley_Feed,11.0,2021.0,37.0
538,Meridian,Barley_Feed,12.0,2021.0,37.0
539,Nezperce / Craigmont,Barley_Feed,10.21,2021.0,37.0
540,Lewiston,Barley_Feed,10.73,2021.0,37.0
542,Rexburg / Ririe,Barley_Feed,13.5,2022.0,30.0
543,Idaho Falls,Barley_Feed,,2022.0,30.0
544,Blackfoot / Pocatello,Barley_Feed,,2022.0,30.0
545,Grace / Soda Springs,Barley_Feed,13.0,2022.0,30.0
546,Burley / Rupert,Barley_Feed,,2022.0,30.0
549,Meridian,Barley_Feed,12.5,2022.0,30.0
550,Nezperce / Craigmont,Barley_Feed,9.71,2022.0,30.0
551,Lewiston,Barley_Feed,10.23,2022.0,30.0
553,Rexburg / Ririe,Barley_Feed,15.0,2022.0,21.0
554,Idaho Falls,Barley_Feed,,2022.0,21.0
555,Blackfoot / Pocatello,Barley_Feed,,2022.0,21.0
556,Grace / Soda Springs,Barley_Feed,15.0,2022.0,21.0
557,Burley / Rupert,Barley_Feed,,2022.0,21.0
560,Meridian,Barley_Feed,12.5,2022.0,21.0
561,Nezperce / Craigmont,Barley_Feed,11.96,2022.0,21.0
562,Lewiston,Barley_Feed,12.48,2022.0,21.0
564,Rexburg / Ririe,Barley_Feed,11.0,2021.0,29.0
565,Idaho Falls,Barley_Feed,,2021.0,29.0
566,Blackfoot / Pocatello,Barley_Feed,,2021.0,29.0
567,Grace / Soda Springs,Barley_Feed,8.0,2021.0,29.0
568,Burley / Rupert,Barley_Feed,10.25,2021.0,29.0
571,Meridian,Barley_Feed,12.0,2021.0,29.0
572,Nezperce / Craigmont,Barley_Feed,8.21,2021.0,29.0
573,Lewiston,Barley_Feed,8.73,2021.0,29.0
575,Rexburg / Ririe,Barley_Feed,,2021.0,45.0
576,Idaho Falls,Barley_Feed,,2021.0,45.0
577,Blackfoot / Pocatello,Barley_Feed,,2021.0,45.0
578,Grace / Soda Springs,Barley_Feed,10.0,2021.0,45.0
579,Burley / Rupert,Barley_Feed,11.25,2021.0,45.0
582,Meridian,Barley_Feed,12.0,2021.0,45.0
583,Nezperce / Craigmont,Barley_Feed,10.21,2021.0,45.0
584,Lewiston,Barley_Feed,10.73,2021.0,45.0
586,Rexburg / Ririe,Barley_Feed,14.5,2022.0,50.0
587,Idaho Falls,Barley_Feed,,2022.0,50.0
588,Blackfoot / Pocatello,Barley_Feed,,2022.0,50.0
589,Grace / Soda Springs,Barley_Feed,13.35,2022.0,50.0
590,Burley / Rupert,Barley_Feed,,2022.0,50.0
593,Meridian,Barley_Feed,12.5,2022.0,50.0
594,Nezperce / Craigmont,Barley_Feed,10.46,2022.0,50.0
595,Lewiston,Barley_Feed,10.98,2022.0,50.0
596,Rexburg / Ririe,Barley_Feed,,2020.0,46.0
597,Idaho Falls,Barley_Feed,,2020.0,46.0
598,Blackfoot / Pocatello,Barley_Feed,,2020.0,46.0
599,Grace / Soda Springs,Barley_Feed,6.75,2020.0,46.0
600,Burley / Rupert,Barley_Feed,,2020.0,46.0
603,Nampa / Weiser,Barley_Feed,,2020.0,46.0
